id,type,name,tokens,cutoff
"c1","condition","IF+","0",
"c2,c3,c4","condition","IF-,PF-,PF+","1,1,0",
"c5","condition","P-","0",
"c6","condition","P+","1",
"c7","condition","Su-","1",
"c8","condition","P+","1",
"c9,c10,c11","condition","PF+,IF-,IF+","1,0,1",
"c12","condition","PF-","0",
"c13,c14,c15","condition","PF-,PF+,IF-","1,0,1",
"c16","condition","Su+","1",
"c17","condition","Su+","1",
"c18","condition","P-","1",
"c19","condition","P+","0",
"c20,c21","condition","IF-,PF+","1,1",
"c22","condition","IF+","0",
"c23","condition","Su-","1",
"c24,c25,c26,c27,c28","condition","IF-,PF-,IF+,PF+,P-","1,1,0,0,1",
"c29","condition","Su+","1",
"c30","condition","P-","1",
"c31","condition","P+","0",
"c32","condition","Su-","1",
"c33,c34,c35,c36,c37","condition","IF+,PF+,IF-,PF-,P+","1,1,0,0,1",
"c38,c39,c40","condition","PF-,PF+,IF-","1,0,1",
"c41,c42,c43,c44,c45","condition","IF-,PF-,IF+,PF+,P-","1,1,0,0,1",
"c46","condition","Su-","1",
"c47","condition","Su+","1",
"c48,c49,c50,c51,c52","condition","IF-,PF-,IF+,PF+,P-","1,1,0,0,1",
"c53","condition","Su+","1",
"e1","event","R3",,"0"
"e2","event","R7",,"0"
"e3","event","R2",,"0"
"e4","event","R4",,"0"
"e5","event","R2",,"0"
"e6","event","R6",,"0"
"e7","event","R6",,"0"
"e8","event","R7",,"1"
"e9","event","R1",,"1"
"e10","event","R7",,"1"
"e11","event","R1",,"1"
"e12","event","R5",,"1"
"e13","event","R3",,"1"
"e14","event","R1",,"1"
"e15","event","R6",,"1"
"e16","event","R5",,"1"
