"c1,c2,c3,c4","condition","P-_2,P-_1,A+_1,P-_3","0,0,1,0","0,0,0,0"
"c5,c6","condition","T+,T-","1,0","0,0"
"c7","condition","B-","0","0"
"c8","condition","A-","0","0"
"c9","condition","A+_3","1","0"
"c10","condition","A+_2","1","0"
"c11","condition","P+","1","0"
"c12","condition","E+","1","0"
"c13","condition","C+","1","0"
"c14","condition","B+","1","0"
"c15,c16","condition","P-_1,A+_1","1,1","0,0"
"c17","condition","P-_3","1","0"
"c18","condition","P-_2","1","0"
"c19","condition","P+","0","0"
"c20","condition","B+","1","0"
"c21,c22","condition","T+,T-","0,1","0,0"
"c23","condition","E-","1","0"
"c24,c25,c26","condition","T-,T+,E+","1,0,1","0,0,0"
"c27,c28,c29","condition","T-,T+,C+","1,0,1","0,0,0"
"c30,c31,c32","condition","T-,T+,P+","1,0,1","0,0,0"
"c33","condition","C-","1","0"
"c34,c35,c36,c37,c38","condition","A-,A+_1,A+_3,A+_2,P-_1","1,0,0,0,1","0,0,0,0,0"
"c39","condition","P-_2","1","0"
"c40","condition","A+_2","1","0"
"c41,c42","condition","B+,B-","0,1","0,0"
"c43","condition","P-_3","1","0"
"c44","condition","A+_3","1","0"
"c45,c46","condition","T+,T-","0,1","0,0"
"c47,c48,c49","condition","T-,T+,E+","1,0,1","0,0,0"
"c50,c51,c52","condition","T-,T+,C+","1,0,1","0,0,0"
"c53,c54,c55","condition","T-,T+,P+","1,0,1","0,0,0"
"c56,c57,c58,c59,c60","condition","P-_1,P-_3,P-_2,P+,A+_1","1,1,1,0,1","0,0,0,0,0"
"c61,c62,c63,c64,c65","condition","P-_1,P-_3,P-_2,P+,A+_1","1,1,1,0,1","0,0,0,0,0"
"c66,c67,c68,c69,c70","condition","A-,A+_1,A+_3,A+_2,P-_1","1,0,0,0,1","0,0,0,0,0"
"c71,c72,c73,c74,c75","condition","A-,A+_1,A+_3,A+_2,P-_1","1,0,0,0,1","0,0,0,0,0"
"c76","condition","P-_2","1","0"
"c77","condition","A+_2","1","0"
"c78,c79","condition","B+,B-","0,1","0,0"
"c80,c81,c82","condition","T-,T+,B+","1,0,1","0,0,0"
"c83,c84,c85,c86","condition","A+_3,T-,T+,P-_3","1,1,0,1","0,0,0,0"
"c87,c88,c89","condition","T-,T+,E+","1,0,1","0,0,0"
"c90,c91,c92","condition","T-,T+,C+","1,0,1","0,0,0"
"c93,c94,c95,c96,c97","condition","P-_1,P-_3,P-_2,P+,A+_1","1,1,1,0,1","0,0,0,0,0"
"c98,c99,c100,c101,c102","condition","P-_1,P-_3,P-_2,P+,A+_1","1,1,1,0,1","0,0,0,0,0"
"c103,c104,c105,c106,c107","condition","A-,A+_1,A+_3,A+_2,P-_1","1,0,0,0,1","0,0,0,0,0"
"c108,c109,c110,c111,c112","condition","A-,A+_1,A+_3,A+_2,P-_1","1,0,0,0,1","0,0,0,0,0"
"e1","event","r1","0"
"e2","event","r5","0"
"e3","event","r6","0"
"e4","event","r10","0"
"e5","event","r2","0"
"e6","event","r3","0"
"e7","event","r4","0"
"e8","event","r2","0"
"e9","event","r2","0"
"e10","event","r3","0"
"e11","event","r2","0"
"e12","event","r2","1"
"e13","event","r1","1"
"e14","event","r1","1"
"e15","event","r8","1"
"e16","event","r7","1"
"e17","event","r4","1"
"e18","event","r5","1"
"e19","event","r1","1"
"e20","event","r1","1"
"e21","event","r9","1"
"e22","event","r8","1"
"e23","event","r7","1"
"e24","event","r9","1"
"e25","event","r8","1"
"e26","event","r7","1"
